ref_key,authors_or_source,year,title,outlet,evidence_type,jurisdiction,related_bill,url
abdurasulov2025,"Abdurasulov, A.",2025,The new AI arms race changing the war in Ukraine,BBC News,news,,,https://www.bbc.co.uk/news/articles/cly7jrez2jno
alexander_simon2025,"Alexander, H.; Simon, J.",2025,Ohio's AI Personhood Ban Risks Outlawing the Future,Ohio Capital Journal,op_ed,OH,HB 469,https://ohiocapitaljournal.com/2025/11/25/ohios-ai-personhood-ban-risks-outlawing-the-future/
allianceai_a,Alliance for Secure AI Action,n.d.,The Alliance for Secure AI Action,Organisation site,advocacy,,,https://secureainow.org/
allianceai_b,Alliance for Secure AI Action,n.d.,The Alliance for Secure AI Staff,Organisation site,advocacy,,,https://secureainow.org/staff/
amipodcast2025,Am I? Podcast,2025,Lawmaker Explains Why He Wants to Outlaw AI Consciousness,Podcast,media,OH,HB 469,https://podcasts.apple.com/us/podcast/am-i-id1834212843?i=1000740865127
aquinas,"Aquinas, T.",ca. 1270,"Summa Theologiae, Prima Pars, Question 93",-,primary_religious,,,
ball2025a,"Ball, D.",2025,Tweet reply on TN SB 1493 and the First Amendment,X (Twitter),social,TN,HB 1455 / SB 1493,https://x.com/deanwball/status/2004678006561013931
ball2025b,"Ball, D.",2025,Tweet commenting on TN SB 1493,X (Twitter),social,TN,HB 1455 / SB 1493,https://x.com/deanwball/status/2004637387402416246
ball_bio,"Ball, D.",n.d.,Dean W. Ball - Biography,Personal site,bio,,,https://www.deanball.com/
banutah_complaint,Ban v. Utah complaint,2025,No. 250900869 (Utah Dist. Ct.),Court filing,legal_doc,UT,HB 249,https://www.nonhumanrights.org/wp-content/uploads/2025/01/UT-Complaint.pdf
banutah_dismissal,Ban v. Utah dismissal order,2025,Memorandum decision and order granting motion to dismiss,Court order,legal_doc,UT,HB 249,
barker2026,"Barker, D.",2026,"Testimony on AB 959 before the Wisconsin Assembly Cttee on Science, Technology and AI",Wisconsin Legislature,testimony,WI,AB 959 / SB 932,https://docs.legis.wisconsin.gov/misc/lc/hearing_testimony_and_materials/2025/ab959/ab0959_2026_02_04.pdf
berg2025,"Berg, C.; Rosenblatt, J.",2025,"If AI Becomes Conscious, We Need to Know",Wall Street Journal,op_ed,,,https://www.wsj.com/opinion/if-ai-becomes-conscious-we-need-to-know-83aa61d8
berry2026,"Berry, S.",2026,Testimony on Missouri HB 1746,Missouri House of Representatives,testimony,MO,HB 1746,https://documents.house.mo.gov/billtracking/bills261/witnesses/HB1746Testimony2-2.pdf
bible,Bible,-,Genesis 1:26-27,-,primary_religious,,,
blacks2001,Black's Law Dictionary,2001,"2nd pocket edn (Bryan A. Garner, ed.)",West Group,reference_work,,,
boone2022,"Boone, R.",2022,Bill Would Bar Idaho's Lands and Animals From 'Personhood',Associated Press,news,ID,HB 720,https://apnews.com/article/united-states-environment-animals-idaho-402c779428a74a6ec9e7994ee977005c
brill2026,"Brill, L.",2026,Testimony on AB 959 before the Wisconsin Assembly Committee,Wisconsin Legislature,testimony,WI,AB 959 / SB 932,https://docs.legis.wisconsin.gov/misc/lc/hearing_testimony_and_materials/2025/ab959/ab0959_2026_02_04.pdf
claggett2025,"Claggett, T.",2025,"Sponsor testimony on HB 469, Ohio House Technology and Innovation Cttee",Ohio House of Representatives,testimony,OH,HB 469,https://ohiohouse.gov/committees/technology-and-innovation/bills/hb469
