ref_key,in_paper,in_corpus,corpus_layer,tier,strand,authors,year,title,venue,type,discipline,themes,cited_by,url_or_id,action,notes
chopra2011,Yes,Yes,adjacent,core,legal_personhood,"Chopra, S.; White, L. F.",2011,A Legal Theory for Autonomous Artificial Agents,University of Michigan Press,book,,,234,https://www.fulcrum.org/concern/monographs/wp988k715,No action - already held,
wang2026,Yes,No,,core,architectures,"Wang, et al.",2026,Advances in Brain-Computer Interfaces (BCI): Challenges and Opportunities,Biomimetics,article,,,,https://www.mdpi.com/2313-7673/11/2/157,Collect,
schwitzgebel2025,Yes,Yes,core,core,consciousness,"Schwitzgebel, E.",2025,AI and Consciousness,arXiv 2510.09858,preprint,computer_science_ai,consciousness_theory,3,https://arxiv.org/abs/2510.09858,No action - already held,
novelli2025,Yes,Yes,adjacent,core,legal_personhood,"Novelli, C.; Floridi, L.; Sartor, G.; Teubner, G.",2025,"AI as legal persons: past, patterns, and prospects",Journal of Law and Society 52(4),article,,,7,https://philarchive.org/archive/NOVAAL,No action - already held,
caviola_forth,Yes,Yes,core,core,public_attitudes,"Caviola, L.",2026,AI consciousness will divide society,"in Chace & Lappas (Eds.), Perspectives on Machine Consciousness, CRC Press",chapter,philosophy,public_perception;moral_status,0,https://osf.io/preprints/psyarxiv/sntva,No action - already held,
birch2025,Yes,Yes,core,core,consciousness,"Birch, J.",2025,AI Consciousness: A Centrist Manifesto,PhilPapers,article,philosophy,consciousness_theory;public_perception,41,https://philpapers.org/rec/BIRACA-4,No action - already held,
salib2024b,Yes,Verify,,core,ai_rights,"Salib, P.; Goldstein, S.",2024,AI Rights for Economic Flourishing,SSRN 5353214,preprint,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5353214,Verify against corpus record,"Corpus holds 'AI Rights for Human Flourishing' (Salib & Goldstein, 2025) - may be this paper retitled on publication. Confirm against SSRN 5353214 before collecting"
salib2024a,Yes,No,,core,ai_rights,"Salib, P.; Goldstein, S.",2024,AI Rights for Human Safety,SSRN 4913167,preprint,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4913167,Collect,Checked by hand: corpus holds only 'AI Rights for Human Flourishing'; this is a distinct paper
goldstein2026,Yes,Yes,core,core,ai_rights,"Goldstein, S. et al.",2026,AI Suffrage for Human Flourishing,Fordham Law Review,article,philosophy,rights_law,0,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6498678,No action - already held,
goldstein2025,Yes,Yes,core,core,moral_status,"Goldstein, S.; Kirk-Giannini, C. D.",2025,AI Wellbeing,arXiv 2509.11913,preprint,philosophy,welfare;moral_status,23,https://arxiv.org/abs/2509.11913,No action - already held,
sirbu2026,Yes,No,,core,architectures,"Sirbu, R. A.; Floridi, L.",2026,"An Analysis of the Governance, Ethical, Legal and Social Implications of Biocomputing",Science and Engineering Ethics,article,,,,https://doi.org/10.1007/s11948-025-00572-x,Collect,
bruner2022,Yes,No,,core,juridical_personhood,"Bruner, C.",2022,Artificially Intelligent Boards and the Future of Delaware Corporate Law,Journal of Corporate Law Studies 22(4),article,,,,https://digitalcommons.law.uga.edu/fac_artchop/1554/,Collect,
weinberg2026,Yes,No,,marginal,exclusion_bills,"Weinberg, M.",2026,California Sees Ways AI Can Support Policymaking. Here's What It Needs to Succeed,Carnegie Endowment,report,,,,https://carnegieendowment.org/posts/2026/03/california-ai-sb-1159,Hold (marginal),
