ref_key,authors,year,title,venue,type,tier,strand,url_or_id
alexander2026,"Alexander et al.",2026,"How Should the Law Treat Future AI Systems? Fictional Legal Personhood versus Legal Identity","Case Western Journal of Law, Technology & the Internet",article,core,legal_personhood,https://scholarlycommons.law.case.edu/jolti/vol17/iss1/3/
arbel2026,"Arbel, Y.; Salib, P.; Goldstein, S.",2026,"How to Count AIs: Individuation and Liability for AI Agents",arXiv 2603.10028,preprint,core,legal_personhood,https://arxiv.org/abs/2603.10028
bariach2026,"Bariach, B. et al.",2026,"Seemingly Conscious AI Risks",SSRN,preprint,core,consciousness_attribution,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6588659
bengio2026,"Bengio, Y. et al.",2026,"International AI Safety Report 2026",arXiv 2602.21012,report,core,ai_safety,https://arxiv.org/abs/2602.21012
birch2024,"Birch, J.",2024,"The Edge of Sentience: Risk and Precaution in Humans, Other Animals, and AI",Oxford University Press,book,core,moral_status,
birch2025,"Birch, J.",2025,"AI Consciousness: A Centrist Manifesto",PhilPapers,article,core,consciousness,https://philpapers.org/rec/BIRACA-4
blair2015,"Blair, M. M.; Pollman, E.",2015,"The Derivative Nature of Corporate Constitutional Rights","William & Mary Law Review 56(5)",article,core,juridical_personhood,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2611299
block2025,"Block, N.",2025,"Can only meat machines be conscious?",Trends in Cognitive Sciences,article,core,consciousness,https://philarchive.org/rec/BLOCOM-3
bruner2022,"Bruner, C.",2022,"Artificially Intelligent Boards and the Future of Delaware Corporate Law","Journal of Corporate Law Studies 22(4)",article,core,juridical_personhood,https://digitalcommons.law.uga.edu/fac_artchop/1554/
butlin2023,"Butlin, P. et al.",2023,"Consciousness in Artificial Intelligence: Insights from the Science of Consciousness",arXiv 2308.08708,preprint,core,consciousness,https://arxiv.org/abs/2308.08708
carlsmith2022,"Carlsmith, J.",2022,"Is Power-Seeking AI an Existential Risk?",arXiv 2206.13353,preprint,core,ai_safety,https://arxiv.org/abs/2206.13353
caviola2025,"Caviola, L.",2025,"The Societal Response to Potentially Sentient AI",arXiv 2502.00388,preprint,core,public_attitudes,https://arxiv.org/abs/2502.00388
caviola_forth,"Caviola, L.",2026,"AI consciousness will divide society","in Chace & Lappas (Eds.), Perspectives on Machine Consciousness, CRC Press",chapter,core,public_attitudes,https://osf.io/preprints/psyarxiv/sntva
chopra2011,"Chopra, S.; White, L. F.",2011,"A Legal Theory for Autonomous Artificial Agents",University of Michigan Press,book,core,legal_personhood,https://www.fulcrum.org/concern/monographs/wp988k715
forrest2024,"Forrest, K. B.",2024,"The Ethics and Challenges of Legal Personhood for AI",Yale Law Journal Forum,article,core,legal_personhood,https://www.yalelawjournal.org/forum/the-ethics-and-challenges-of-legal-personhood-for-ai
goldstein2025,"Goldstein, S.; Kirk-Giannini, C. D.",2025,"AI Wellbeing",arXiv 2509.11913,preprint,core,moral_status,https://arxiv.org/abs/2509.11913
goldstein2026,"Goldstein, S. et al.",2026,"AI Suffrage for Human Flourishing",Fordham Law Review,article,core,ai_rights,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=6498678
gray1997,"Gray, J. C.",1997,"The Nature and Sources of the Law",Routledge,book,core,juridical_personhood,
hanson2016,"Hanson, R.",2016,"The Age of Em: Work, Love, and Life when Robots Are Smart",Oxford University Press,book,core,digital_minds_futures,
ivanov2022,"Ivanov, D. et al.",2022,"Neuromorphic artificial intelligence systems",Frontiers in Neuroscience,article,core,architectures,https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2022.959626/full
jaworska2021,"Jaworska, A.; Tannenbaum, J.",2021,"The Grounds of Moral Status",Stanford Encyclopedia of Philosophy,encyclopedia,core,moral_status,https://plato.stanford.edu/entries/grounds-moral-status/
jin2026,"Jin, et al.",2026,"Whole-Brain Connectomic Graph Model Enables Whole-Body Locomotion Control in Fruit Fly",arXiv 2602.17997,preprint,core,architectures,https://arxiv.org/abs/2602.17997
jones2025,"Jones, C. R.; Bergen, B. K.",2025,"Large Language Models Pass the Turing Test",arXiv 2503.23674,preprint,core,capabilities,https://arxiv.org/abs/2503.23674
lerchner2026,"Lerchner, A.",2026,"The Abstraction Fallacy: Why AI Can Simulate But Not Instantiate Consciousness",PhilArchive / Google DeepMind,preprint,core,consciousness,https://deepmind.google/research/publications/231971/
